Date,INTC,SMTC,AWSL,MU,AMAT,ASML,NVDA,TXN,QCOM,AMD
02-06-2000,0.468271895,0.142417691,0.504885364,1.645182291,-0.0825502,-0.515103744,-0.471731407,-0.191313915,-0.692493523,0.459672519
05-06-2000,0.477027506,0.150659043,0.48534209,1.675355117,-0.081054314,-0.514669425,-0.471320133,-0.190961232,-0.697577172,0.461972776
06-06-2000,0.486085921,0.159151178,0.465338815,1.704851008,-0.079319855,-0.514222517,-0.470913244,-0.190681897,-0.702332936,0.464116188
07-06-2000,0.495384423,0.167883218,0.444888532,1.733527192,-0.077375391,-0.51376543,-0.470511449,-0.190475787,-0.706781543,0.466100214
08-06-2000,0.504867764,0.176859474,0.424007653,1.761229458,-0.075275906,-0.513299079,-0.470115413,-0.190362744,-0.710944951,0.467924305
09-06-2000,0.514489142,0.186049939,0.402700383,1.787776421,-0.073063265,-0.512828426,-0.469726091,-0.190342332,-0.714848081,0.469576349
12-06-2000,0.524186135,0.195438868,0.380990723,1.813031076,-0.070783978,-0.512359226,-0.46934548,-0.190428513,-0.718504151,0.471042388
13-06-2000,0.533893943,0.205026897,0.358906074,1.836875977,-0.068475349,-0.511893304,-0.468974572,-0.190614047,-0.721943289,0.472322083
14-06-2000,0.543517266,0.21479365,0.336477483,1.859159827,-0.066184501,-0.511433315,-0.468614746,-0.190924039,-0.725179933,0.473403194
15-06-2000,0.553015593,0.224738152,0.313737735,1.879824864,-0.063937746,-0.510981155,-0.468266856,-0.191359332,-0.728196306,0.474293828
16-06-2000,0.562325388,0.234821507,0.290721857,1.898834694,-0.061787592,-0.51053929,-0.467931638,-0.191921072,-0.730982537,0.474990373
19-06-2000,0.571408205,0.244941413,0.267468081,1.916130794,-0.059786441,-0.510111643,-0.46761102,-0.192619173,-0.733558594,0.475502902
20-06-2000,0.580186447,0.255115149,0.244018658,1.931641725,-0.057972304,-0.509701076,-0.467305746,-0.193475813,-0.735922143,0.475800999
21-06-2000,0.588618718,0.265355267,0.220772619,1.945290891,-0.05637887,-0.50931196,-0.467015663,-0.194482234,-0.738077038,0.475883468
22-06-2000,0.596673447,0.275662038,0.197765223,1.957072296,-0.055038499,-0.508946893,-0.46674223,-0.195617168,-0.740045826,0.475736556
23-06-2000,0.60435739,0.286067857,0.175081576,1.967084336,-0.05396151,-0.508607115,-0.466484262,-0.196868532,-0.741837833,0.475385743
26-06-2000,0.611646616,0.296584632,0.15275371,1.97533985,-0.053162276,-0.508293926,-0.466240103,-0.198211214,-0.743465367,0.474840241
27-06-2000,0.618521554,0.307143797,0.130813032,1.981890793,-0.052659061,-0.508009087,-0.466011051,-0.199645557,-0.744942945,0.474091026
28-06-2000,0.62498856,0.317717452,0.109290499,1.986809035,-0.052454676,-0.507754636,-0.465794629,-0.201159447,-0.746275741,0.473144379
29-06-2000,0.631038127,0.328316547,0.08821622,1.990218024,-0.052559776,-0.507531747,-0.465590088,-0.202749657,-0.747483271,0.472013486
30-06-2000,0.636662538,0.338946753,0.067619328,1.992163961,-0.052971877,-0.507339242,-0.465395611,-0.204405066,-0.74857518,0.470699784
03-07-2000,0.641847719,0.349557433,0.047527326,1.992778573,-0.053692179,-0.507178878,-0.465211554,-0.206132424,-0.749570124,0.469189366
05-07-2000,0.646592364,0.360184128,0.027966269,1.992173215,-0.054710846,-0.507048951,-0.465036976,-0.207921632,-0.750480797,0.467455628
06-07-2000,0.650943933,0.370872211,0.008628387,1.99055978,-0.055985228,-0.506945324,-0.464869794,-0.209750933,-0.751307917,0.465544387
07-07-2000,0.654895161,0.381615213,-0.010066828,1.988038991,-0.05750274,-0.506868629,-0.464709998,-0.211617237,-0.752066022,0.463435662
10-07-2000,0.658462826,0.392395364,-0.028122832,1.984754427,-0.059239393,-0.50681885,-0.464556647,-0.213513247,-0.752742694,0.461121135
11-07-2000,0.661673316,0.403191323,-0.045518177,1.98082518,-0.061162767,-0.506795603,-0.464409526,-0.215428077,-0.753340669,0.458588777
12-07-2000,0.664554105,0.414051735,-0.062233737,1.976419607,-0.063231024,-0.50679629,-0.46426837,-0.217337134,-0.753852014,0.455859338
13-07-2000,0.667113865,0.424965804,-0.078252406,1.97162733,-0.065415992,-0.506819971,-0.464133053,-0.219237465,-0.754310369,0.452938087
14-07-2000,0.669363981,0.435913414,-0.093532205,1.966576841,-0.067681972,-0.506864889,-0.464004161,-0.221136954,-0.754723365,0.449818807
17-07-2000,0.671310881,0.446870792,-0.10802736,1.961344594,-0.069992898,-0.506930622,-0.463880741,-0.22304104,-0.75509845,0.446487502
18-07-2000,0.672968285,0.457826306,-0.121727354,1.956043514,-0.072324744,-0.507015957,-0.463762294,-0.224948896,-0.75546122,0.442943744
19-07-2000,0.67435623,0.468781963,-0.134624287,1.950759948,-0.074633329,-0.507117492,-0.463648017,-0.226851184,-0.755803874,0.439185785
20-07-2000,0.675509493,0.479763552,-0.146713525,1.945633833,-0.076879237,-0.507232169,-0.463536554,-0.228725312,-0.756122817,0.435225813
